ts_code,company_name,year,debt_to_assets,current_ratio,roe,roa,assets_turn,grossprofit_margin,netprofit_margin,profit_to_gr,interest_coverage_w,high_credit_risk,credit_risk_score
600463.SH,空港股份,2020,59.3349,1.213,0.7247,1.263,0.3731,10.2188,0.4158,0.4158,1.2196,1,0.5920602910602911
600463.SH,空港股份,2021,57.3429,1.135,-2.0439,-0.7578,0.3326,12.5242,-5.0707,-5.0707,-1.0694,1,0.6510519750519751
600463.SH,空港股份,2022,53.6001,1.2452,-2.6509,-0.1412,0.2386,20.6335,-8.1737,-8.1737,-0.1236,1,0.6136694386694387
600463.SH,空港股份,2023,54.1434,1.3505,-8.7873,-3.5956,0.2065,11.589,-24.5573,-24.5573,-2.6146,1,0.6441309771309771
600463.SH,空港股份,2024,58.218,1.2677,-9.2553,-3.4976,0.1991,18.5381,-24.6695,-24.6695,-2.4653,1,0.6648523908523908
600503.SH,华丽家族,2020,33.2996,1.7581,3.8738,3.7802,0.1765,49.7736,11.5718,11.5718,5.9463,0,0.2694303534303534
600503.SH,华丽家族,2021,26.9965,1.7582,2.567,2.8396,0.098,50.3559,16.7591,16.7591,4.5004,0,0.28158419958419956
600503.SH,华丽家族,2022,24.505208,3.0549,2.0601,1.6688,0.0426,42.7636,33.0516,33.0516,8.8807,0,0.16603742203742206
600510.SH,黑牡丹,2022,65.3866,1.7326,6.3213,3.6448,0.3482,18.9672,7.3297,7.3297,79.51361199999998,0,0.2782203742203742
600533.SH,栖霞建设,2020,80.792,1.6471,8.0447,2.6978,0.1548,31.545,9.61,9.5794,3.4525,0,0.5552702702702702
600533.SH,栖霞建设,2021,80.4999,1.5723,8.5964,2.7523,0.1412,34.067,11.1407,11.1114,3.7443,0,0.5554532224532225
600533.SH,栖霞建设,2022,79.6134,1.8357,4.2324,1.7201,0.3013,17.8001,2.9103,2.9091,4.8189,0,0.5136590436590436
600533.SH,栖霞建设,2023,82.1128,1.755,-3.113,0.0635,0.2024,15.386,-1.9541,-1.9532,0.0298,1,0.7574760914760914
600533.SH,栖霞建设,2024,85.4515,1.732,-25.3578,-4.6599,0.0888,19.9263,-46.8073,-46.795,-2.4611,1,0.8266320166320166
600603.SH,广汇物流,2020,58.6446,1.3657,12.5209,7.0454,0.264,47.0663,19.4143,19.4143,33.3036,0,0.28233887733887736
600603.SH,广汇物流,2021,59.5281,1.1378,9.4371,4.8699,0.2065,44.1985,17.7003,17.7003,40.1047,0,0.32589812889812886
600603.SH,广汇物流,2022,70.4681,0.8122,9.8098,5.3344,0.2741,29.51,12.1582,12.1582,5.3071,0,0.4884823284823285
600603.SH,广汇物流,2023,69.5337,0.6902,9.9012,5.3491,0.2093,36.1915,12.9261,12.9261,3.3038,0,0.5213721413721414
600603.SH,广汇物流,2024,65.678,0.685184,7.5518,4.7081,0.165,41.5594,14.145,14.145,2.5373,0,0.5277151767151766
600604.SH,市北高新,2020,56.1559,1.6988,2.7594,2.8233,0.0644,52.2942,15.1298,15.1298,1.8239,0,0.4419604989604989
600604.SH,市北高新,2021,60.0726,1.7666,1.7691,2.7516,0.0553,49.8499,11.6337,11.6337,1.6034,0,0.4717546777546777
600604.SH,市北高新,2022,61.4317,1.4397,1.1926,2.1365,0.0584,47.0898,7.8088,7.8088,1.4958,1,0.5472245322245322
600604.SH,市北高新,2023,62.4273,1.483,-2.7362,0.5773,0.0463,31.275,-15.7376,-15.7376,0.5002,1,0.6107442827442827
600604.SH,市北高新,2024,59.6708,1.6463,0.4764,2.0801,0.1204,27.3565,3.6942,3.6942,1.5152,0,0.5151081081081081
600606.SH,绿地控股,2020,88.8879,1.1988,18.326,2.8175,0.3587,14.4117,4.6375,4.6344,6.9769,0,0.5839604989604988
600606.SH,绿地控股,2021,88.8447,1.1175,7.0719,1.6651,0.3801,11.6746,1.7349,1.7334,4.023,0,0.6696216216216216
600606.SH,绿地控股,2022,87.9684,1.0816,1.1184,1.0672,0.3076,10.5023,1.0555,1.0545,2.3916,0,0.7714282744282744
600606.SH,绿地控股,2023,87.8422,1.1017,-11.1772,0.0785,0.2816,11.0828,-3.0879,-3.0873,0.1402,1,0.8888960498960499
